,Name,Descriptio,Area,Population,pop,area,pop_den,pop_den_weighted,pop_weighted,prob,Inf_pop day 0,Inf_pop day 1,Inf_pop day 2,Inf_pop day 3,Inf_pop day 4,Inf_pop day 5,Inf_pop day 6,Inf_pop day 7,Inf_pop day 8,Inf_pop day 9,Inf_pop day 10,Inf_pop day 11,Inf_pop day 12,Inf_pop day 13,Inf_pop day 14,Inf_pop day 15,Inf_pop day 16,Inf_pop day 17,Inf_pop day 18,Inf_pop day 19
12,Marina East (MP),"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Marine Parade,-,0,1611823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,East Coast,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Marine Parade,-,0,599776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Tuas View Extension,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Tua,-,0,28084790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Pioneer Sector,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Pioneer,-,0,2833756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Benoi Sector,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Pioneer,-,0,2070218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Shipyard,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Boon Lay,-,0,2147152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Safti,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Jurong West,-,0,1545134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Chin Bee,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Jurong West,-,0,1305344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Airport Road,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Paya Lebar,-,0,501183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Brickworks,"<html xmlns:fo=""""http://www.w3.org/1999/XSL/Format"""" xmlns:msxsl=""""urn:schemas-microsoft-com:xslt""""> <head> <META http-equiv=""""Content-Type"""" content=""""text/html""""> <meta http-equiv=""""content-type"""" content=""""text/html; charset=UTF-8""""> </head> <body style=""""margin:0",Bukit Batok,-,0,1242228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
